Nom,URL,Sponsorisé,Prix (€),Étoiles,Nombre d'Avis
"MSI Carte graphique NVIDIA GEFORCE GT 1030 2GHD4 LP OC '2 Go GDDR4, 1518 MHz, conception à profil bas, DisplayPort, HDMI, système de refroidissement passif sans ventilateur",https://www.amazon.fr/MSI-GEFORCE-GT-1030-2GHD4/dp/B07CMH5F9R,0,Non disponible,"4,5 sur 5 étoiles","4,5 sur 5 étoiles 532"
"MSI GeForce RTX 4080 SUPER 16GB GAMING X TRIO - 16 Go GDDR6X (23 Gbps/256 bits), PCIe 4.0 - TRI FROZR 3 (3 x ventilateurs TORX 5.0), Dual BIOS - HDMI 2.1, DisplayPort 1.4a",https://www.amazon.fr/MSI-GeForce-4080-SUPER-GAMING/dp/B0CQMFJ888,0,Non disponible,"4,7 sur 5 étoiles","4,7 sur 5 étoiles 421"
GIGABYTE GeForce RTX 3070 Gaming OC 8G (rev. 2.0) NVIDIA 8 Go GDDR6 Noir,https://www.amazon.fr/Gigabyte-GeForce-Gaming-NVIDIA-GDDR6/dp/B096Y2NLV4,0,Non disponible,"4,6 sur 5 étoiles","4,6 sur 5 étoiles 482"
"MSI Carte mère de jeu MPG B550 Gaming Plus (ATX), AMD AM4, DDR4 M.2, USB 3.2 Gen 2, HDMI ATX, carte mère de jeu, processeurs AMD Ryzen™ 5000",https://www.amazon.fr/MSI-B550-Gaming-Plus-911-7C56-001/dp/B08B4V6H3N,0,"107,32","4,6 sur 5 étoiles","4,6 sur 5 étoiles 12 749"
"MSI B650 GAMING PLUS WIFI Carte mère, ATX - Pour processeurs AMD Ryzen 9000, 8000 & 7000, AM5 - VRM double rail 14+2 phases, DDR5 6400+MHz/OC, 2 x PCIe 4.0 x16, 2 x M.2 Gen4, Wi-Fi 6E",https://www.amazon.fr/MSI-B650-Gaming-Plus-WiFi/dp/B0C3R2TXHJ,0,"150,35","4,3 sur 5 étoiles","4,3 sur 5 étoiles 3 400"
"GIGABYTE GeForce RTX 4080 Super Gaming OC Carte Graphique – Cœur 2595 MHz, mémoire 16 Go GDDR6X 23000 MHz 256 Bits, PCI-E 4.0, 3 x DP 1.4, 1 x HDMI 2.1a, NVIDIA DLSS 3.5, GV-N408SGAMING OC-16GD",https://www.amazon.fr/GIGABYTE-GeForce-Super-Gaming-Graphique/dp/B0CQTP6J3Z,0,Non disponible,"4,3 sur 5 étoiles","4,3 sur 5 étoiles 285"
XFX Carte Graphique 8 GB GDDR6 8 GB RAM AMD Radeon RX 7600,https://www.amazon.fr/XFX-Radeon-Speedster-Quick308-QICK308/dp/B0C59PD6LD,0,Non disponible,"4,4 sur 5 étoiles","4,4 sur 5 étoiles 245"
"QTHREE GT 730 4G D3 Carte Graphique, 2X HDMI, 1x DVI, 1x VGA, Carte Video PC, GPU, pour Plusieurs moniteurs, for Win 7, 8, 10, 11, DirectX 11, 12",https://www.amazon.fr/QTHREE-GT-730-Graphique-Plusieurs/dp/B0CGV2XRPJ,0,"79,99","4,2 sur 5 étoiles","4,2 sur 5 étoiles 44"
"ASUS Dual GeForce RTX 4070 Evo OC Edition – Carte Graphique Gaming (12GB GDDR6X, PCIe 4.0, DLSS 3, HDMI 2.1, DisplayPort 1.4a, 2.56 Slot, Ventilateurs axiaux, Technologie 0dB)",https://www.amazon.fr/ASUS-Dual-GeForce-RTX-4070/dp/B0CRHSF5TH,0,Non disponible,"4,6 sur 5 étoiles","4,6 sur 5 étoiles 74"
"MSI B850 Gaming Plus WiFi Carte mère ATX - pour processeurs AMD Ryzen 9000/8000 / 7000, AM5 - DDR5 Memory Boost (8200+ MT/s OC), PCIe 5.0 x16 & 4.0 x16, M.2 Gen5, Wi-FI 7, 5G LAN",https://www.amazon.fr/MSI-B850-Gaming-Plus-Carte/dp/B0DPKV94MX,0,"184,07","4,6 sur 5 étoiles","4,6 sur 5 étoiles 129"
