Nom,URL,Prix (€),Étoiles,Nombre d'Avis
"MAXSUN Cartes Graphiques GT 730 4Go Carte Graphique Externe Nvidia GPU pour Ordinateur PC GDDR3 ITX Design PCI Express DVI-I, HDMI, VGA 4K",https://www.amazon.fr/Graphiques-GT-730-Nvidia-Ordinateur/dp/B097GMQWRN,"60,82",4.2,195
"QTHREE Radeon RX 560xt 8Go Carte Graphique, GDDR5 128-bits, HDMI, DVI-D, DisplayPort, Carte Video PC, GPU, PCI Express x16, DirectX 12",https://www.amazon.fr/QTHREE-Radeon-RX-Graphique-DisplayPort/dp/B0CG5TTJRJ,"108,32",4.3,50
"GIGABYTE GeForce RTX 4060 TI EAGLE OC 8GB Carte graphique - 8GB GDDR6 18Gbps 128bit, PCI-E 4.0, 2x DisplayPort 1.4, 2x HDMI 2.1a, NVIDIA DLSS 3, Supports 4K, Ada Lovelace Arch, GV-N406TEAGLE OC-8GD",https://www.amazon.fr/GIGABYTE-GeForce-EAGLE-Carte-graphique/dp/B0C5JVS8VG,"429,12",4.4,104
"MAXSUN Carte Graphique GeForce GT 710 1 Go GPU (64 bit VGA, DVI-D, HDMI, Profil Bas prêt PCI Express Graphics Card)",https://www.amazon.fr/Graphique-Externe-GT-710-Graphics/dp/B08Y5S5P55,"39,99",4.4,133
"GIGABYTE GV-R65XTEAGLE-4GD Radeon RX 6500 XT 4GB Eagle GDDR6 Ray-Tracing Graphics Card, RDNA2, 1024 Streams, 2825MHz Boost",https://www.amazon.fr/GIGABYTE-GV-R65XTEAGLE-4GD-Ray-Tracing-Graphics-Streams/dp/B09Q978YV1,"148,51",4.6,14
Sapphire Pure AMD Radeon™ RX 7800 XT Gaming OC 16GB GDDR6 Dual HDMI/Dual DP,https://www.amazon.fr/Sapphire-Pure-RadeonTM-Gaming-GDDR6/dp/B0CGVRFV5Q,"465,24",4.6,364
"Gigabyte Radeon RX 9070 Gaming OC 16G Carte Graphique - 16 Go GDDR6, 256 Bits, PCI-E 5.0, 2700 MHz Fréquence du Cœur, 2 x DisplayPort, 2 x HDMI, GV-R9070GAMING OC-16GD",https://www.amazon.fr/Gigabyte-Radeon-Gaming-Carte-Graphique/dp/B0DT78YM6P,"636,66",4.8,8
"MSI GeForce RTX 3050 LP 6G OC Carte Graphique - 6 Go GDDR6, 1492 MHz, PCI Express Gen 4, 96 Bits, DP v 1.4a, 2X HDMI 2.1 (Prend en Charge 4K à 120 Hz)",https://www.amazon.fr/MSI-GeForce-3050-Carte-Graphique/dp/B0CSPRNRZC,"169,07",4.7,146
"Carte Graphique NVIDIA GEFORCE GT 1030 4 Go GDDR4 PCI Express 3.0, HDMI, DVI-D, système de Refroidissement à Ventilateur Unique ITX GPU",https://www.amazon.fr/MAXSUN-GT-1030-refroidissement-ventilateur/dp/B08ZCHF59L,"91,66",4.3,325
"Asus TUF Gaming GeForce RTX 5070 12GB GDDR7 OC Edition – Carte Graphique Gaming (PCIe 5.0, HDMI, Display 2.1, 3.125 Slot, Ventilateurs axiaux, revêtement Protecteur PCB)",https://www.amazon.fr/Asus-Gaming-GeForce-5070-GDDR7/dp/B0DYPGW2KB,"707,50",2.5,6
"ASUS DUAL AMD Radeon RX 6600 - Carte graphique (8GB GDDR6, AMD RDNA 2, PCIe 4.0, HDMI 2.1, DisplayPort 1.4a, ventilateurs axiax à double roulement à billes, 0dB), Noir",https://www.amazon.fr/ASUS-DUAL-AMD-Radeon-6600/dp/B09GPQVK1G,"220,40",4.4,1530
PNY Carte Graphique GeForce RTX™ 5070 12GB ARGB OC Triple Fan DLSS 4,https://www.amazon.fr/PNY-Carte-Graphique-GeForce-Triple/dp/B0DYPGBX6J,"665,83",4.1,7
GIGABYTE RTX 4060 Eagle OC ICE-8GD,https://www.amazon.fr/GIGABYTE-RTX-4060-Eagle-ICE-8GD/dp/B0CVQN2XKX,"296,66",4.8,38
"MSI GeForce RTX 4060 Ti Ventus 2X Black 8G OC Carte Graphique - 8 Go GDDR6 (18 GB/s, 128-bit), PCIe 4.0-2 x Ventilateurs TORX Fan 4.0 - HDMI 2.1a, DisplayPort 1.4a",https://www.amazon.fr/MSI-GeForce-Ventus-Black-GDDR6X/dp/B0C4F7KX1B,"385,30",4.6,1424
Sapphire Pure AMD Radeon™ RX 7700 XT Gaming OC 12GB GDDR6 Dual HDMI/Dual DP,https://www.amazon.fr/Sapphire-Pure-RadeonTM-Gaming-GDDR6/dp/B0CGVQMBCC,"391,66",4.6,77
ASUS Dual RX 7800XT O16G,https://www.amazon.fr/ASUS-Dual-RX-7800XT-O16G/dp/B0CRHW6MYG,"452,48",4.6,158
"ASUS TUF Gaming Radeon RX 7800 XT OC Edition – Carte Graphique Gaming (16GB GDDR6X, PCIe 4.0, HDMI 2.1, DisplayPort 2.1, Ventilateurs axiaux)",https://www.amazon.fr/ASUS-TUF-Gaming-Radeon-7800XT/dp/B07MDV2F3L,"494,27",4.6,183
"ZOTAC Carte Graphique, Gaming GEFORCE RTX 3060 Twin Edge OC 12GB GDDR6",https://www.amazon.fr/Zotac-Gaming-GeForce-NVIDIA-GDDR6/dp/B08WRF18SC,"258,32",4.6,474
"Gigabyte NVIDIA GeForce RTX 3060 WINDFORCE OC V2 Carte graphique - 12GB GDDR6, 192-bit, PCI-E 4.0, 1792MHz Core Clock, 2x DP 1.4, 2 x HDMI 2.1, NVIDIA Ampere - GV-N3060WF2OC-12GD",https://www.amazon.fr/Gigabyte-NVIDIA-GeForce-WINDFORCE-Graphique/dp/B0BXH2DLZ6,"260,32",4.6,113
"MAXSUN Carte Graphique Externe GeForce GT 710 2 Go GPU (64 bit VGA, DVI-D, HDMI, Profil Bas prêt PCI Express Graphics Card)",https://www.amazon.fr/Graphique-Externe-GeForce-Express-Graphics/dp/B08R8NZB3Y,"44,16",4.5,386
"GIGABYTE GeForce RTX 4060 TI EAGLE 8GB Carte graphique - 8GB GDDR6 18Gbps 128bit, PCI-E 4.0, 2x DisplayPort 1.4, 2x HDMI 2.1a, NVIDIA DLSS 3, Supports 4K, Ada Lovelace Arch, GV-N406TEAGLE-8GD",https://www.amazon.fr/GIGABYTE-GeForce-EAGLE-Carte-graphique/dp/B0C5JWKK33,"396,54",4.7,404
