Nom,URL,Prix (€),Étoiles,Nombre d'Avis
"GIGABYTE Carte mère A520M K V2 - Prend en charge les processeurs AMD Ryzen série 5000 AM4, jusqu'à 5100MHz DDR4 (OC), PCIe Gen3 x4 M.2, LAN GbE, USB 3.2 Gen 1",https://www.amazon.fr/GIGABYTE-A520M-K-V2/dp/B0BXFBN121,"52,46",4.3,356
"ASUS ROG Strix Herculx Support pour gddr4 Carte graphie, Montage sans Outils, Niveau intégré Pratique, Structure en Alliage de Zinc, Hauteur réglable de 72 à 128 mm, Aura Sync, Noir 90DA0020-B09000",https://www.amazon.fr/ASUS-Pratique-Structure-r%C3%A9glable-90DA0020-B09000/dp/B09RPYGVBW,"35,66",4.7,929
EZDIY-FAB FR2-4.0CM Muti GPU-W Cable,https://www.amazon.fr/EZDIY-FAB-Support-Graphique-Multi-Angles-Compatible/dp/B0BXN6NZ6P,"55,41",4.0,11
StarTech.com Carte graphique externe USB 3.0 vers HDMI - Adaptateur Graphique Vidéo Double Écran/Multi-écrans Externe USB 3.0 vers HDMI pour Mac et PC – Certifié DisplayLink – HD 1080p (USB32HDPRO),https://www.amazon.fr/StarTech-com-Carte-graphique-externe-vers/dp/B00O6G5ZGI,"59,72",4.4,1419
StarTech.com Adaptateur USB 3.0 vers double DisplayPort 4K 60 Hz - Carte graphique externe USB 3.0 vers 2 ports DP (USB32DP24K60),https://www.amazon.fr/StarTech-com-Adaptateur-vers-double-DisplayPort/dp/B07C69HG33,"98,33",4.3,524
"upHere gaming Support GPU,Aluminium,Support Carte Graphique,Support Carte Graphique Verticale réglable en Hauteur,avec Aimant,S(26mm-50mm),GB26K",https://www.amazon.fr/upHere-gaming-Aluminium-Graphique-Verticale/dp/B0CXPW17QK,"5,82",4.4,63
StarTech.com Adaptateur USB 3.0 vers HDMI - 1080p - Convertisseur d'Écran Slim/Compact USB Type-A vers HDMI pour Moniteur - Carte Vidéo et Graphique Externe - Noir - Windows Uniquement (USB32HDES),https://www.amazon.fr/StarTech-com-Adaptateur-graphique-externe-multi-%C3%A9crans/dp/B00H91BQ7Y,"39,17",4.5,2665
"ASUS ROG Herculx Support pour Carte Graphique Blanc (Hauteur de Support 72-128 mm, élément ARGB 3D intégré, Aura Sync, Niveau à Bulle, Blanc)",https://www.amazon.fr/ASUS-Herculx-Support-Graphique-Hauteur/dp/B08H24S64X,"32,73",4.8,36
"EZDIY-FAB Support GPU Graphique Support de Carte vidéo avec LED ARGB 5V 3 Broches, Support d'étui RX6700-Noir",https://www.amazon.fr/EZDIY-FAB-Support-Graphique-Broches-RX6700-Noir/dp/B0948R4VF4,"16,66",4.3,441
upHere GPU Brace Carte Graphique ARGB LED Sync Ajustable Selon la Carte Graphique pour Raidisseur de Support Carte Graphique Verticale.,https://www.amazon.fr/upHere-Graphique-Ajustable-Raidisseur-Support/dp/B08YWMJLMV,"13,32",4.4,641
NZXT Vertical GPU Mounting Kit - AB-RH175-W1 - Câble Riser PCIe 4.0x16 175 mm - Support GPU - Support en Acier Robuste - Blanc,https://www.amazon.fr/Nzxt-Vertical-GPU-Mounting-Kit/dp/B0B4HJSH49,"88,24",4.6,352
"upHere gaming Support Carte Graphique,GPU ARGB LED Sync Ajustable Selon la Support Carte Graphique pour Raidisseur de Support Carte Vidéo,G276WTARGB",https://www.amazon.fr/upHere-gaming-Graphique-Raidisseur-G276WTARGB/dp/B0CXH43WLN,"12,49",4.3,55
"NZXT H7 Flow RGB -Tour moyenne ATX circ. d’air ventilateurs RGB, Ventilateurs inf. refroidissement direct carte graphique, Ventilateur RGB struct. unique 360 mm incl., Gestion des câbles- Boîtiers PC",https://www.amazon.fr/NZXT-ventilateurs-Ventilateurs-refroidissement-Ventilateur/dp/B0CV4RRBNJ,"124,99",4.6,2071
"EZDIY-FAB 5V ARGB GPU Holder Brace Graphics Card GPU Support Video Card Holder Bracket, Strenchable Structure, Video Card Sag Holder/Holster Bracket Support RX7990XTX, RTX4090-Noir",https://www.amazon.fr/EZDIY-FAB-ARGB-GPU-Strenchable-RTX4090-Noir/dp/B0BPGZRHQJ,"33,32",4.0,116
"Support Carte Graphique GPU, Titulaire de la Carte vidéo, Aluminium, blanc, L(74mm-120mm)",https://www.amazon.fr/Uyubao-Graphique-Titulaire-Aluminium-74mm-120mm/dp/B0CHLTQ9M2,"8,99",4.6,972
"EZDIY-FAB Support vertical pour GPU avec câble PCIE 4.0 Riser,module ARGB,extension flexible de 115 mm,connecteur à 90 degrés, compatible uniquement avec les emplacements PCIe entièrement ouverts-Noir",https://www.amazon.fr/EZDIY-FAB-GPU-emplacements-enti%C3%A8rement-ouverts-Noir/dp/B0CP4TQFPV,"41,66",4.1,141
"Support pour carte graphique GPU, support de carte vidéo, support anti-affaissement, support GPU (L, 74-120 mm)",https://www.amazon.fr/Support-graphique-support-anti-affaissement-74-120/dp/B09FPJL1KY,"8,32",4.7,5616
"J&D 2 Paquets 6 Pin vers 8 Pin PCI Express (PCIe) Graphique la Vidéo Carte d'alimentation Câble Adaptateur, 10cm",https://www.amazon.fr/Broches-Express-Graphique-Adaptateur-dalimentation/dp/B07C6P9R9R,"6,62",4.7,788
NZXT H9 Flow noir - CM-H91FB-01 - Boîtier Gaming moyen-tour ATX double chambre - Panneau supérieur perforé pour airflow élevé - avant et latéral en verre trempé - Compatible radiateur 360 mm,https://www.amazon.fr/NZXT-Flow-noir-CM-H91FB-01-moyen-tour/dp/B0BJGP7XQ7,"146,57",4.7,1498
Asrock Radeon RX 6600 CLD,https://www.amazon.fr/ASRock-Radeon-RX-6600-CLD/dp/B09J8VCFWN,"203,53",4.6,353
"QTHREE GeForce GT 210 Carte Graphique, 1G DDR3 64-bit, HDMI, DVI, VGA, PC Graphics Card GPU, DirectX 10, PCI Express x16",https://www.amazon.fr/QTHREE-graphique-GeForce-Frequency-Desktop/dp/B0BFX174WF,"43,44",4.4,207
"PNY Quadro P400 Carte graphique professionnelle 2GB GDDR5 PCI Express 3.0 x16, simple slot, 3x Mini-Port display, 5K Support, Ventilateur actif ultra-silencieux",https://www.amazon.fr/PNY-graphique-professionnelle-Ventilateur-ultra-silencieux/dp/B084GYZZGW,"180,00",4.3,67
KFA2 Carte Graphique GeForce RTX 4060 1-Click OC 2X NVIDIA 8 Go GDDR6 (Emballage en Vrac),https://www.amazon.fr/KFA2-Graphique-GeForce-1-Click-Emballage/dp/B0CH9XZHXQ,"315,35",5.0,2
"PNY NVIDIA T400 4GB Carte Graphique Professionnelle 4GB GDDR6 PCI Express 3.0 x16, Single Slot, 3X Mini-DisplayPort, 8K Support, Ventilateur Actif Ultra Silencieux Noir",https://www.amazon.fr/PNY-Professionnelle-Mini-DisplayPort-Ventilateur-Silencieux/dp/B09RQBL7JP,"200,00",4.6,18
"QTHREE GT 730 Carte Graphique 4 Go, DDR3, 128 Bits, Carte vidéo de Bureau pour PC de Jeu, DVI-I, HDMI, VGA, PCI Express 2.0 x16, GPU d'ordinateur à Profil Bas, Prise en Charge DirectX 11,2K",https://www.amazon.fr/GeForce-GT-730-graphique-DirectX/dp/B09JF5RSCS,"68,66",3.9,68
"Predator BiFrost Arc A750 OC – 8GB VRAM GDDR6, HDMI, 3X DP - PCIe 4.0 – Double Ventilateur – Noir – Carte Graphique",https://www.amazon.fr/ACER-Predator-BiFrost-Intel%C2%AE-ArcTM/dp/B0CG1QJ9ZX,"232,50",5.0,3
"PNY Quadro P620 Carte graphique professionnelle 2GB GDDR5 PCI Express 3.0 x16, simple slot, 4x Mini-Port display, 5K Support, Ventilateur actif ultra-silencieux",https://www.amazon.fr/PNY-graphique-professionnelle-Ventilateur-ultra-silencieux/dp/B084GZHB2L,"170,00",4.4,39
"SAPLOS Geforce GT 610 Carte Graphique, 2GB DDR3 64-bit, VGA HDMI, Low Profile Carte Video, PCI Express x16, DirectX 11",https://www.amazon.fr/SAPLOS-Geforce-Graphique-Profile-Express/dp/B0CW1HGQH3,"45,82",3.9,12
PNY Carte Graphique Professionnelle NVIDIA Quadro P400 (VCQP400-PB),https://www.amazon.fr/PNY-VCQP400-PB-Quadro-P400-2gb/dp/B06X9PW5DZ,"145,00",4.6,312
"MSI B760 Gaming Plus WiFi DDR4 Carte mère, ATX - pour processeurs Intel 14e, 13e & 12e gén, LGA 1700 - DDR4 Memory Boost 5333+MHz/OC, 1 x PCIe 4.0 x16, 2 x M.2 Gen4, 2.5G LAN, Wi-FI 6E",https://www.amazon.fr/MSI-B760-Gaming-Plus-Carte/dp/B0BSLMNGM9,"122,59",4.7,16
Gigabyte B550 AORUS Elite AX V2 (Socket AM4/B550/DDR4/S-ATA 600/ATX/WiFi 6),https://www.amazon.fr/Gigabyte-B550-AORUS-AX-V2/dp/B08K16FGC8,"126,66",4.3,909
Gigabyte B760 Gaming X DDR4 Intel LGA 1700,https://www.amazon.fr/GIGABYTE-B760-Gaming-DDR4-Intel/dp/B0BPYTR6J5,"105,02",4.5,396
"MSI B760 B760 GAMING PLUS WIFI Carte Mère, ATX - Pour Processeurs Intel Core 14e, 13e & 12e Génération, LGA 1700 - DDR5 Memory Boost 6800+MHz/OC, Slots PCIe 4.0 x16, Slots M.2 Gen4, Wi-Fi 6E",https://www.amazon.fr/MSI-B760-Gaming-Plus-WiFi/dp/B0BZD3BMZL,"137,87",4.5,1941
"GIGABYTE B550M DS3H Carte mère - Processeurs AMD Ryzen 5000, VRM 5+3 Phases, jusqu'à 4733 MHz DDR4, 1xPCIe 4.0 + 1xPCIe 3.0 M.2, LAN 1GbE, USB 3.2 Gen 1",https://www.amazon.fr/GIGABYTE-Carte-Mere-B550M-DS3H/dp/B089TNX9YT,"76,56",4.3,1803
GIGABYTE B550 AORUS Elite V2 ATX,https://www.amazon.fr/GIGABYTE-B550-AORUS-Elite-V2/dp/B08MPZ14FY,"106,08",4.4,1864
"MSI Pro H610M-E DDR4 Carte mère, Micro-ATX - pour processeur Intel de 14e, 13e et 12e gén., LGA 1700 - DDR4 Memory Boost 3200MHz/MAX, PCIe 4.0 x16, M.2 Gen3",https://www.amazon.fr/MSI-H610M-DDR4-LGA1700-MicroATX/dp/B0BKRDV1V3,"58,25",4.3,396
upHere gaming GPU Brace Carte Graphique ARGB LED Sync Ajustable Selon la Carte Graphique pour Raidisseur de Support Carte Vidéo.,https://www.amazon.fr/upHere-gaming-Graphique-Ajustable-Raidisseur/dp/B0CXHH96YL,"12,49",4.3,55
